City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,luderitz,-26.6481,15.1594,19.67,89,0,2.83,NA,2024-02-03 20:12:33
138,rongelap,11.1635,166.8941,26.49,82,89,8.96,MH,2024-02-03 20:12:08
139,hobe sound,27.0595,-80.1364,26.1,62,40,4.12,US,2024-02-03 20:19:57
140,haiku-pauwela,20.9219,-156.3051,21.81,65,100,10.29,US,2024-02-03 20:12:13
141,polyarnyy,69.1989,33.4478,-4.9,79,91,12.26,RU,2024-02-03 20:12:14
142,chegdomyn,51.1167,133.0167,-31.99,100,100,0.63,RU,2024-02-03 20:19:58
143,crane,31.3974,-102.3501,15.34,24,1,15.24,US,2024-02-03 20:12:19
144,menongue,-14.6585,17.691,19.23,85,91,0.76,AO,2024-02-03 20:19:58
145,kailua-kona,19.6406,-155.9956,26.39,70,20,16.98,US,2024-02-03 20:09:15
146,kol'chugino,56.3,39.3833,-7.27,96,100,3.24,RU,2024-02-03 20:19:59
147,mount isa,-20.7333,139.5,23.87,94,100,6.17,AU,2024-02-03 20:12:26
148,sisimiut,66.9395,-53.6735,-21.08,92,70,3.71,GL,2024-02-03 20:12:36
149,ellsworth,44.5434,-68.4195,-1.04,58,0,6.69,US,2024-02-03 20:19:59
150,humberto de campos,-2.5983,-43.4611,29.23,67,19,4.01,BR,2024-02-03 20:20:00
151,beloyarskiy,63.7119,66.6722,-20.0,99,92,2.24,RU,2024-02-03 20:12:41
152,tekkali,18.6167,84.2333,21.39,90,0,1.32,IN,2024-02-03 20:20:00
153,ceerigaabo,10.6162,47.368,16.52,65,2,1.52,SO,2024-02-03 20:12:41
154,iskateley,67.6803,53.1512,-12.77,85,24,6.71,RU,2024-02-03 20:12:28
155,brisas de zicatela,15.8369,-97.0419,29.29,61,75,6.69,MX,2024-02-03 20:20:01
156,port lincoln,-34.7333,135.8667,19.58,68,0,2.95,AU,2024-02-03 20:20:01
157,nueve de julio,-35.4444,-60.8831,40.17,14,59,4.98,AR,2024-02-03 20:15:47
158,nemuro,43.3236,145.575,-5.03,70,10,6.77,JP,2024-02-03 20:12:36
159,anadyr,64.75,177.4833,-20.56,76,0,2.68,RU,2024-02-03 20:12:00
160,hotan,37.0997,79.9269,-4.15,82,100,1.71,CN,2024-02-03 20:12:28
161,vadso,70.0744,29.7487,-1.91,74,100,9.77,NO,2024-02-03 20:19:00
162,dabat,12.9842,37.765,13.08,54,91,0.38,ET,2024-02-03 20:20:02
163,tipasa,36.5897,2.4475,12.55,85,0,2.1,DZ,2024-02-03 20:20:04
164,gunnedah,-30.9833,150.25,23.99,67,65,1.18,AU,2024-02-03 20:20:05
165,uturoa,-16.7333,-151.4333,27.84,75,53,5.29,PF,2024-02-03 20:12:16
166,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,2024-02-03 20:12:04
167,fort bragg,35.139,-79.006,13.23,44,0,3.09,US,2024-02-03 20:12:36
168,atafu village,-8.5421,-172.5159,29.16,75,100,8.6,TK,2024-02-03 20:12:03
169,sinabang,2.4803,96.3801,26.31,82,100,3.45,ID,2024-02-03 20:12:29
170,yellowknife,62.456,-114.3525,-17.55,85,100,8.05,CA,2024-02-03 20:07:39
171,taungdwingyi,20.0167,95.55,18.61,57,0,0.6,MM,2024-02-03 20:20:10
172,sabang,5.8933,95.3214,27.24,75,98,2.85,ID,2024-02-03 20:20:11
173,bamboo flat,11.7,92.7167,24.05,88,42,0.0,IN,2024-02-03 20:12:10
174,naro moru,-0.1676,37.0213,13.21,84,10,0.88,KE,2024-02-03 20:20:14
175,vidyayevo,69.3191,32.8049,-4.84,83,98,9.11,RU,2024-02-03 20:20:16
176,as sulayyil,20.4607,45.5779,15.14,25,0,6.51,SA,2024-02-03 20:12:42
177,varto,39.1732,41.4559,-6.79,95,98,1.09,TR,2024-02-03 20:20:17
178,shimanovsk,52.0,127.7,-26.95,100,11,1.47,RU,2024-02-03 20:20:17
179,hamilton,39.1834,-84.5333,11.24,58,0,5.66,US,2024-02-03 20:15:37
180,sikasso,10.9167,-7.0,29.3,15,0,2.51,ML,2024-02-03 20:12:02
181,cockburn town,21.4612,-71.1419,23.2,61,0,2.26,TC,2024-02-03 20:12:07
182,lebork,54.5392,17.7501,6.75,81,94,9.0,PL,2024-02-03 20:20:18
183,okhotsk,59.3833,143.3,-24.98,76,18,7.83,RU,2024-02-03 20:12:38
184,yaren,-0.5472,166.916,29.08,76,100,6.81,NR,2024-02-03 20:12:13
185,tofol,5.3248,163.0078,28.15,82,100,9.41,FM,2024-02-03 20:20:21
186,palikir - national government center,6.9248,158.1611,27.34,79,91,6.55,FM,2024-02-03 20:12:14
187,jaru,-10.4389,-62.4664,27.85,87,66,2.11,BR,2024-02-03 20:20:22
188,huarmey,-10.0681,-78.1522,26.01,77,81,4.06,PE,2024-02-03 20:20:23
189,nuuk,64.1835,-51.7216,-16.59,78,93,3.85,GL,2024-02-03 20:12:08
190,ibi,38.6253,-0.5723,8.65,85,5,1.5,ES,2024-02-03 20:20:23
191,savelugu,9.6244,-0.8253,30.25,14,2,2.86,GH,2024-02-03 20:20:23
192,la passe,45.5549,-0.8967,7.21,92,58,3.07,FR,2024-02-03 20:20:25
193,laizhou,37.1717,119.9214,-2.93,66,7,5.74,CN,2024-02-03 20:20:26
194,ulsteinvik,62.3432,5.8487,5.42,61,13,10.28,NO,2024-02-03 20:20:26
195,ternate,0.8,127.4,26.14,81,31,3.37,ID,2024-02-03 20:20:27
196,namibe,-15.1961,12.1522,25.61,87,100,3.95,AO,2024-02-03 20:12:14
197,basoko,1.2391,23.616,28.61,45,100,1.06,CD,2024-02-03 20:20:27
198,primero de mayo,-32.2552,-58.4228,38.23,20,3,2.82,AR,2024-02-03 20:20:27
199,alice springs,-23.7,133.8833,27.9,31,100,8.75,AU,2024-02-03 20:12:08
200,linghai,41.1653,121.3667,-12.91,72,26,2.24,CN,2024-02-03 20:20:28
201,valdivia,-39.8142,-73.2459,26.05,26,8,1.59,CL,2024-02-03 20:20:28
202,mantua,45.1667,10.7833,7.77,53,44,1.74,IT,2024-02-03 20:20:29
203,tomatlan,19.9333,-105.25,31.22,28,0,6.09,MX,2024-02-03 20:20:29
204,kismayo,-0.3582,42.5454,26.53,86,26,7.09,SO,2024-02-03 20:20:29
205,kapuskasing,49.4169,-82.4331,1.4,86,20,2.55,CA,2024-02-03 20:08:01
206,newman,37.3138,-121.0208,12.38,74,99,2.24,US,2024-02-03 20:20:30
207,crikvenica,45.1772,14.6928,9.27,76,0,1.03,HR,2024-02-03 20:20:30
208,saint marys,30.7305,-81.5465,19.45,76,0,8.75,US,2024-02-03 20:20:30
209,akrehamn,59.2667,5.1833,6.34,81,75,13.38,NO,2024-02-03 20:12:17
210,borogontsy,62.6683,131.1683,-42.47,100,79,1.1,RU,2024-02-03 20:12:17
211,dawei,14.0833,98.2,21.0,75,16,1.17,MM,2024-02-03 20:20:31
212,the pas,53.8251,-101.2541,1.01,93,100,3.6,CA,2024-02-03 20:20:31
213,susuman,62.7833,148.1667,-28.35,99,100,1.63,RU,2024-02-03 20:20:31
214,kamina,-8.7386,24.9906,18.69,95,96,0.97,CD,2024-02-03 20:20:31
215,nadym,65.5333,72.5167,-19.02,98,99,2.86,RU,2024-02-03 20:20:32
216,slawno,54.3628,16.6789,5.23,89,100,9.07,PL,2024-02-03 20:20:32
217,arsk,56.0915,49.8778,-5.92,99,100,2.43,RU,2024-02-03 20:20:32
218,mindelo,16.8901,-24.9804,23.75,60,58,6.69,CV,2024-02-03 20:20:32
219,dryden,49.7833,-92.7503,2.16,69,0,2.57,CA,2024-02-03 20:20:33
220,araripe,-7.2125,-40.0461,29.04,44,88,1.89,BR,2024-02-03 20:20:33
221,guerrero negro,27.9769,-114.0611,17.61,54,0,7.49,MX,2024-02-03 20:12:44
222,suances,43.4334,-4.0434,12.77,100,100,0.0,ES,2024-02-03 20:20:33
223,tateyama,34.9833,139.8667,4.5,88,100,3.33,JP,2024-02-03 20:12:47
224,port mathurin,-19.6833,63.4167,26.56,70,19,6.69,MU,2024-02-03 20:12:01
225,marquette,46.5333,-87.6335,8.21,56,2,0.85,US,2024-02-03 20:20:34
226,mitu,1.1983,-70.1733,29.69,65,100,1.22,CO,2024-02-03 20:12:10
227,cadale,2.7603,46.3222,26.46,81,87,8.13,SO,2024-02-03 20:15:36
228,margate,51.3813,1.3862,11.6,85,100,0.89,GB,2024-02-03 20:12:18
229,el granada,37.5027,-122.4694,14.02,79,75,2.57,US,2024-02-03 20:12:30
230,akureyri,65.6835,-18.0878,-5.04,86,75,5.14,IS,2024-02-03 20:20:35
231,batang,-6.4846,110.7083,26.14,88,100,5.05,ID,2024-02-03 20:20:35
